group
id,name
1,Electronics
2,Computers
3,Smart Home
4,Beauty
subgroup
id,name,group_id
1,Camera,1
2,Monitors,2
3,Plugs,3
4,Makeup,4
seller
id,name
1,Emma
2,Keyser
3,Mike
4,Sandy
5,Mark
6,Mike
7,Todd
8,James
9,Mike
10,Andrea
11,Keyser
12,Luke
13,Emma
14,Mark
15,John
16,Lisa
17,Stephen
18,Mark
19,Andrea
20,John
21,Jason
22,John
23,James
24,Mark
25,Lily
26,Todd
27,Lily
28,Keyser
29,Lisa
30,Keyser
31,Lily
32,Todd
33,Lisa
34,Amber
35,Stephen
36,Anita
37,Jason
38,John
39,Sandy
40,Keyser
41,Sandy
42,John
43,Stephen
44,Anna
45,Mike
46,Andrea
47,Jason
48,Amber
49,James
50,John
51,Amber
52,Albert
53,James
54,Jason
55,Keyser
56,Andrea
57,Jason
58,Lia
59,Todd
60,Albert
61,Sandy
62,Lily
63,Luke
64,Stephen
65,Fred
66,Luke
67,Andrea
68,Todd
69,James
70,Lisa
71,Lia
72,Lisa
73,Lily
74,Andrea
75,Lily
76,Mark
77,Mark
78,Anna
79,Albert
80,Emma
81,Anna
82,Fred
83,Amber
84,Anita
85,Anita
86,Keyser
87,Sandy
88,Albert
89,Amber
90,Lia
91,Albert
92,Stephen
93,Luke
94,Lia
95,Anita
96,Emma
97,Mark
98,Jason
99,Albert
100,Luke
101,James
102,Emma
103,Mark
104,Lisa
105,Lily
106,John
107,Anita
108,Amber
109,Sandy
110,Keyser
111,James
112,Todd
113,Emma
114,Jason
115,Todd
116,Anita
117,Stephen
118,Jason
119,Jason
120,Mike
121,Keyser
122,Andrea
123,Sandy
124,James
125,Andrea
126,James
127,Lisa
128,Albert
129,Fred
130,Mark
131,Lisa
132,Fred
133,Keyser
134,Stephen
135,James
136,John
137,Todd
138,Keyser
139,Luke
140,James
141,Amber
142,John
143,Todd
144,Amber
145,Mike
146,John
147,Jason
148,Amber
149,Stephen
150,Mike
151,James
152,Anita
153,Amber
154,Amber
155,Anna
156,Anna
157,Luke
158,Sandy
159,Jason
160,John
161,Keyser
162,Andrea
163,Lisa
164,Andrea
165,Emma
166,Fred
167,James
168,Mike
169,Stephen
170,Anita
171,Anna
172,James
173,Todd
174,Mike
175,Keyser
176,Albert
177,Lily
178,Fred
179,Amber
180,Jason
181,Amber
182,Sandy
183,Todd
184,John
185,Anna
186,Sandy
187,James
188,Albert
189,Jason
190,Anita
191,Todd
192,Luke
193,James
194,Amber
195,Anita
196,Lia
197,Anita
198,Andrea
199,Mike
200,Todd
201,Anita
202,Mike
203,Sandy
204,Lia
205,John
206,Amber
207,Fred
208,Fred
209,Albert
210,Sandy
211,Lily
212,Albert
213,Luke
214,Andrea
215,Jason
216,Emma
217,Todd
218,Emma
219,Todd
220,Todd
221,Sandy
222,Jason
223,Mark
